Groups,Labridae (Wrasses),FISH_CODE,Common Name,Abundance,Length,Biomass
Labridae (Wrasses),Cheilinus fasciatus,CHE.FASC,Redbreast Maori Wrasse,x,,
Labridae (Wrasses),Cheilinus undulatus,CHE.UNDU,Humphead Maori Wrasse,x,,
Labridae (Wrasses),Choerodon fasciatus,CHO.FASC,Harlequin Tuskfish,x,,
Labridae (Wrasses),Hemigymnus fasciatus,HEM.FASC,Fiveband Wrasse,x,,
Labridae (Wrasses),Hemigymnus melapterus,HEM.MELT,Thicklip Wrasse,x,,
Lethrinidae (Emperors),Lethrinus atkinsoni,LET.ATKI,Yellowtail Emperor,x,,
Lethrinidae (Emperors),Lethrinus erythracanthus,LET.ERYT,Orangespotted Emperor,x,,
Lethrinidae (Emperors),Lethrinus erythropterus,LET.ERUS,Longfin Emperor,x,,
Lethrinidae (Emperors),Lethrinus harak,LET.HARA,Thumbprint Emperor,x,,
Lethrinidae (Emperors),Lethrinus laticaudis,LET.LATI,Grass Emperor,x,,
Lethrinidae (Emperors),Lethrinus lentjan,LET.LENT,Redspot Emperor,x,,
Lethrinidae (Emperors),Lethrinus microdon,LET.MICR,Smalltooth Emperor,x,,
Lethrinidae (Emperors),Lethrinus miniatus,LET.MINI,Redthroat Emperor,x,,
Lethrinidae (Emperors),Lethrinus nebulosus,LET.NEBU,Spangled Emperor,x,,
Lethrinidae (Emperors),Lethrinus obsoletus,LET.OBSO,Orangestriped Emperor,x,,
Lethrinidae (Emperors),Lethrinus olivaceus,LET.OLIV,Longnose Emperor,x,,
Lethrinidae (Emperors),Lethrinus ornatus,LET.ORNA,Ornate Emperor,x,,
Lethrinidae (Emperors),Lethrinus rubrioperculatus,LET.RUBR,Spotcheek Emperor,x,,
Lethrinidae (Emperors),Lethrinus semicinctus,LET.SEMI,Blackblotch Emperor,x,,
Lethrinidae (Emperors),Lethrinus xanthochilus,LET.XANT,"Yellowlip Emperor 	",x,,
Lethrinidae (Emperors),Monotaxis grandoculis,MON.GRAN,Bigeye Seabream,x,,
Lethrinus miniatus and L. nebulosus (Redthroat and Spangled emperors),Lethrinus miniatus,LET.MINI,Redthroat Emperor,x,,
Lethrinus miniatus and L. nebulosus (Redthroat and Spangled emperors),Lethrinus nebulosus,LET.NEBU,Spangled Emperor,x,,
Lutjanidae (Tropical Snappers),Lutjanus adetii,LUT.ADET,Hussar,x,,
Lutjanidae (Tropical Snappers),Lutjanus argentimaculatus,LUT.ARGE,Mangrove Jack,x,,
Lutjanidae (Tropical Snappers),Lutjanus biguttatus,LUT.BIGU,Twospot Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus bohar,LUT.BOHA,Red Bass,x,,
Lutjanidae (Tropical Snappers),Lutjanus boutton,LUT.BOUT,Yellowlined Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus carponotatus,LUT.CARP,Stripey Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus ehrenbergii,LUT.EHRE,Ehrenberg's Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus fulviflamma,LUT.FLMA,Blackspot Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus fulvus,LUT.FULV,Blacktail Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus gibbus,LUT.GIBB,Paddletail,x,,
Lutjanidae (Tropical Snappers),Lutjanus kasmira,LUT.KASM,Bluestriped Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus lemniscatus,LUT.LEMN,Darktail Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus lutjanus,LUT.LUTJ,Bigeye Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus monostigma,LUT.MONO,Onespot Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus quinquelineatus,LUT.QUIN,Fiveline Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus rivulatus,LUT.RIVU,Maori Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus russellii,LUT.RUSS,Moses' Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus sebae,LUT.SEBA,Red Emperor,x,,
Lutjanidae (Tropical Snappers),Lutjanus semicinctus,LUT.SEMI,Blackbanded Snapper,x,,
Lutjanidae (Tropical Snappers),Lutjanus vitta,LUT.VITT,Brownstripe Snapper,x,,
Lutjanidae (Tropical Snappers),Macolor spp.,MCR.GROP,"Midnight Snapper, Black-and-White Snapper",x,,
Serranidae (Rockcods),Aethaloperca rogaa,AET.ROGA,Redmouth Rockcod,x,,
Serranidae (Rockcods),Anyperodon leucogrammicus,ANY.LEUC,Whitelined Rockcod,x,,
Serranidae (Rockcods),Cephalopholis argus,CEP.ARGU,Peacock Rockcod,x,,
Serranidae (Rockcods),Cephalopholis boenak,CEP.BOEN,Brownbarred Rockcod,x,,
Serranidae (Rockcods),Cephalopholis cyanostigma,CEP.CYAN,Bluespotted Rockcod,x,,
Serranidae (Rockcods),Cephalopholis microprion,CEP.MICR,Dot-head Rockcod,x,,
Serranidae (Rockcods),Cephalopholis miniata,CEP.MINI,Coral Rockcod,x,,
Serranidae (Rockcods),Cephalopholis sexmaculata,CEP.SEXM,Sixband Rockcod,x,,
Serranidae (Rockcods),Cephalopholis urodeta,CEP.UROD,Flagtail Rockcod,x,,
Serranidae (Rockcods),Cromileptes altivelis,CRO.ALTI,Barramundi Cod,x,,
Serranidae (Rockcods),Epinephelus areolatus,EPI.AREO,Yellowspotted Rockcod,x,,
Serranidae (Rockcods),Epinephelus coeruleopunctatus,EPI.CAER,Whitespotted Grouper,x,,
Serranidae (Rockcods),Epinephelus coioides,EPI.COIO,Goldspotted Rockcod,x,,
Serranidae (Rockcods),Epinephelus corallicola,EPI.CORA,Coral Grouper,x,,
Serranidae (Rockcods),Epinephelus cyanopodus,EPI.CYAN,Purple Rockcod,x,,
Serranidae (Rockcods),Epinephelus fasciatus,EPI.FASC,Blacktip Rockcod,x,,
Serranidae (Rockcods),Epinephelus fuscoguttatus,EPI.FUSC,Flowery Rockcod,x,,
Serranidae (Rockcods),Epinephelus hexagonatus,EPI.HEXA,Wirenet Rockcod,x,,
Serranidae (Rockcods),Epinephelus howlandi,EPI.HOWL,Blacksaddle Rockcod,x,,
Serranidae (Rockcods),Epinephelus lanceolatus,EPI.LANC,Queensland Groper,x,,
Serranidae (Rockcods),Epinephelus macrospilos,EPI.MACR,Snubnose Grouper,x,,
Serranidae (Rockcods),Epinephelus maculatus,EPI.MACU,Highfin Grouper,x,,
Serranidae (Rockcods),Epinephelus malabaricus,EPI.MALA,Blackspotted Rockcod,x,,
Serranidae (Rockcods),Epinephelus merra,EPI.MERR,Birdwire Rockcod,x,,
Serranidae (Rockcods),Epinephelus ongus,EPI.ONGU,Specklefin Grouper,x,,
Serranidae (Rockcods),Epinephelus polyphekadion,EPI.POLY,Camouflage Grouper,x,,
Serranidae (Rockcods),Epinephelus quoyanus,EPI.QUOY,Longfin Rockcod,x,,
Serranidae (Rockcods),Epinephelus sexfasciatus,EPI.SEX,Sixbar Grouper,x,,
Serranidae (Rockcods),Epinephelus spilotoceps,EPI.SPIL,Foursaddle Grouper,x,,
Serranidae (Rockcods),Plectropomus areolatus,PMS.AREO,Passionfruit Coral Trout,x,,
Serranidae (Rockcods),Plectropomus laevis,PMS.LAEV,Bluespotted Coral Trout,x,,
Serranidae (Rockcods),Plectropomus leopardus,PMS.LEOP,Common Coral Trout,x,,
Serranidae (Rockcods),Plectropomus maculatus,PMS.MACU,Barcheek Coral Trout,x,,
Serranidae (Rockcods),Variola albimarginata,VAR.ALBI,White-edge Coronation Trout,x,,
Serranidae (Rockcods),Variola louti,VAR.LOUT,Yellowedge Coronation Trout,x,,
Plectropomus and Variola spp (Coral trout),Plectropomus areolatus,PMS.AREO,Passionfruit Coral Trout,x,,
Plectropomus and Variola spp (Coral trout),Plectropomus laevis,PMS.LAEV,Bluespotted Coral Trout,x,,
Plectropomus and Variola spp (Coral trout),Plectropomus leopardus,PMS.LEOP,Common Coral Trout,x,,
Plectropomus and Variola spp (Coral trout),Plectropomus maculatus,PMS.MACU,Barcheek Coral Trout,x,,
Plectropomus and Variola spp (Coral trout),Variola albimarginata,VAR.ALBI,White-edge Coronation Trout,x,,
Plectropomus and Variola spp (Coral trout),Variola louti,VAR.LOUT,Yellowedge Coronation Trout,x,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
